chapter,official,url,local,local_title,match
9. 函式及運算子,9.11. Geometric Functions and Operators,https://www.postgresql.org/docs/15/functions-geometry.html,the-sql-language/functions-and-operators/geometric-functions-and-operators.md,9.11. 地理資訊函式及運算子,title/path
9. 函式及運算子,9.12. Network Address Functions and Operators,https://www.postgresql.org/docs/15/functions-net.html,the-sql-language/functions-and-operators/network-address-functions-and-operators.md,9.12. 網路位址函式及運算子,title/path
9. 函式及運算子,9.13. Text Search Functions and Operators,https://www.postgresql.org/docs/15/functions-textsearch.html,the-sql-language/functions-and-operators/text-search-functions-and-operators.md,9.13. 文字檢索函式及運算子,title/path
9. 函式及運算子,9.14. UUID Functions,https://www.postgresql.org/docs/15/functions-uuid.html,the-sql-language/functions-and-operators/uuid-functions.md,9.14. UUID Functions,title/path
9. 函式及運算子,9.16. JSON Functions and Operators,https://www.postgresql.org/docs/15/functions-json.html,the-sql-language/functions-and-operators/json-functions-and-operators.md,9.16. JSON 函式及運算子,title/path
9. 函式及運算子,9.17. Sequence Manipulation Functions,https://www.postgresql.org/docs/15/functions-sequence.html,the-sql-language/functions-and-operators/sequence-manipulation-functions.md,9.17. 序列函式,title/path
9. 函式及運算子,9.18. Conditional Expressions,https://www.postgresql.org/docs/15/functions-conditional.html,the-sql-language/functions-and-operators/conditional-expressions.md,9.18. 條件表示式,title/path
9. 函式及運算子,9.19. Array Functions and Operators,https://www.postgresql.org/docs/15/functions-array.html,the-sql-language/functions-and-operators/array-functions-and-operators.md,9.19. 陣列函式及運算子,title/path
9. 函式及運算子,9.21. Aggregate Functions,https://www.postgresql.org/docs/15/functions-aggregate.html,the-sql-language/functions-and-operators/aggregate-functions.md,9.21. 彙總函數,title/path
9. 函式及運算子,9.22. Window Functions,https://www.postgresql.org/docs/15/functions-window.html,the-sql-language/functions-and-operators/window-functions.md,9.22. Window 函式,title/path
9. 函式及運算子,9.23. Subquery Expressions,https://www.postgresql.org/docs/15/functions-subquery.html,the-sql-language/functions-and-operators/subquery-expressions.md,9.23. 子查詢,title/path
9. 函式及運算子,9.24. Row and Array Comparisons,https://www.postgresql.org/docs/15/functions-comparisons.html,the-sql-language/functions-and-operators/row-and-array-comparisons.md,9.24. 資料列與陣列的比較運算,title/path
9. 函式及運算子,9.25. Set Returning Functions,https://www.postgresql.org/docs/15/functions-srf.html,the-sql-language/functions-and-operators/set-returning-functions.md,9.25. 集合回傳函數,title/path
9. 函式及運算子,9.28. Trigger Functions,https://www.postgresql.org/docs/15/functions-trigger.html,the-sql-language/functions-and-operators/trigger-functions.md,9.28. 觸發函式,title/path
9. 函式及運算子,9.29. Event Trigger Functions,https://www.postgresql.org/docs/15/functions-event-triggers.html,the-sql-language/functions-and-operators/event-trigger-functions.md,9.29. 事件觸發函式,title/path
9. 函式及運算子,9.30. Statistics Information Functions,https://www.postgresql.org/docs/15/functions-statistics.html,the-sql-language/functions-and-operators/statistics-information-functions.md,9.30. Statistics Information Functions,title/path
9. 函式及運算子,9.15. XML Functions,https://www.postgresql.org/docs/15/functions-xml.html,the-sql-language/functions-and-operators/xml.md,9.15. XML 函式,number-only-review
9. 函式及運算子,9.20. Range/Multirange Functions and Operators,https://www.postgresql.org/docs/15/functions-range.html,the-sql-language/functions-and-operators/range-functions-and-operators.md,9.20. 範圍函式及運算子,number-only-review
9. 函式及運算子,9.26. System Information Functions and Operators,https://www.postgresql.org/docs/15/functions-info.html,the-sql-language/functions-and-operators/system-information-functions.md,9.26. 系統資訊函數,number-only-review
9. 函式及運算子,9.27. System Administration Functions,https://www.postgresql.org/docs/15/functions-admin.html,the-sql-language/functions-and-operators/system-administration.md,9.27. 系統管理函式,number-only-review
10. 型別轉換,10.4. Value Storage,https://www.postgresql.org/docs/15/typeconv-query.html,the-sql-language/type-conversion/value-storage.md,10.4. 資料儲存轉換規則,title/path
10. 型別轉換,"10.5. UNION, CASE, and Related Constructs",https://www.postgresql.org/docs/15/typeconv-union-case.html,the-sql-language/type-conversion/union-case-and-related-constructs.md,10.5. UNION、CASE 等相關結構,title/path
10. 型別轉換,10.1. Overview,https://www.postgresql.org/docs/15/typeconv-overview.html,the-sql-language/type-conversion/10.1.-gai-guan.md,10.1. 概觀,number-only-review
10. 型別轉換,10.2. Operators,https://www.postgresql.org/docs/15/typeconv-oper.html,the-sql-language/type-conversion/10.2.-yun-suan-zi.md,10.2. 運算子,number-only-review
10. 型別轉換,10.3. Functions,https://www.postgresql.org/docs/15/typeconv-func.html,the-sql-language/type-conversion/10.3.-han-shi.md,10.3. 函式,number-only-review
10. 型別轉換,10.6. SELECT Output Columns,https://www.postgresql.org/docs/15/typeconv-select.html,the-sql-language/type-conversion/10.6.-select-shu-chu-gui-ze.md,10.6. SELECT 輸出規則,number-only-review
11. 索引（Index）,11.1. Introduction,https://www.postgresql.org/docs/15/indexes-intro.html,the-sql-language/index/introduction.md,11.1. 簡介,title/path
11. 索引（Index）,11.2. Index Types,https://www.postgresql.org/docs/15/indexes-types.html,the-sql-language/index/index-types.md,11.2. 索引型別,title/path
11. 索引（Index）,11.3. Multicolumn Indexes,https://www.postgresql.org/docs/15/indexes-multicolumn.html,the-sql-language/index/multicolumn-indexes.md,11.3. 多欄位索引,title/path
11. 索引（Index）,11.4. Indexes and ORDER BY,https://www.postgresql.org/docs/15/indexes-ordering.html,the-sql-language/index/indexes-and-order-by.md,11.4. 索引與 ORDER BY,title/path
11. 索引（Index）,11.5. Combining Multiple Indexes,https://www.postgresql.org/docs/15/indexes-bitmap-scans.html,the-sql-language/index/combining-multiple-indexes.md,11.5. 善用多個索引,title/path
11. 索引（Index）,11.6. Unique Indexes,https://www.postgresql.org/docs/15/indexes-unique.html,the-sql-language/index/unique-indexes.md,11.6. 唯一值索引,title/path
11. 索引（Index）,11.7. Indexes on Expressions,https://www.postgresql.org/docs/15/indexes-expressional.html,the-sql-language/index/indexes-on-expressions.md,11.7. 表示式索引,title/path
11. 索引（Index）,11.8. Partial Indexes,https://www.postgresql.org/docs/15/indexes-partial.html,the-sql-language/index/partial-indexes.md,11.8. 部份索引（partial index）,title/path
11. 索引（Index）,11.9. Index-Only Scans and Covering Indexes,https://www.postgresql.org/docs/15/indexes-index-only-scans.html,the-sql-language/index/index-only-scans-and-covering-indexes.md,11.9. Index-Only Scans and Covering Indexes,title/path
11. 索引（Index）,11.10. Operator Classes and Operator Families,https://www.postgresql.org/docs/15/indexes-opclass.html,the-sql-language/index/operator-classes-and-operator-families.md,11.10. 運算子物件及家族,title/path
11. 索引（Index）,11.11. Indexes and Collations,https://www.postgresql.org/docs/15/indexes-collations.html,the-sql-language/index/indexes-and-collations.md,11.11. 索引與排序規則,title/path
11. 索引（Index）,11.12. Examining Index Usage,https://www.postgresql.org/docs/15/indexes-examine.html,the-sql-language/index/examining-index-usage.md,11.12. 檢查索引運用,title/path
12. 全文檢索,12.1. Introduction,https://www.postgresql.org/docs/15/textsearch-intro.html,the-sql-language/12.-quan-wen-jian-suo/12.1.-jian-jie.md,12.1. 簡介,number-only-review
12. 全文檢索,12.2. Tables and Indexes,https://www.postgresql.org/docs/15/textsearch-tables.html,the-sql-language/12.-quan-wen-jian-suo/12.2.-cha-xun-yu-suo-yin.md,12.2. 查詢與索引,number-only-review
12. 全文檢索,12.3. Controlling Text Search,https://www.postgresql.org/docs/15/textsearch-controls.html,the-sql-language/12.-quan-wen-jian-suo/12.3.-xi-bu-kong-zhi.md,12.3. 細部控制,number-only-review
12. 全文檢索,12.4. Additional Features,https://www.postgresql.org/docs/15/textsearch-features.html,the-sql-language/12.-quan-wen-jian-suo/12.4.-yan-shen-gong-neng.md,12.4. 延伸功能,number-only-review
12. 全文檢索,12.5. Parsers,https://www.postgresql.org/docs/15/textsearch-parsers.html,the-sql-language/12.-quan-wen-jian-suo/12.5.-duan-ci.md,12.5. 斷詞,number-only-review
12. 全文檢索,12.6. Dictionaries,https://www.postgresql.org/docs/15/textsearch-dictionaries.html,the-sql-language/12.-quan-wen-jian-suo/12.6.-zi-dian.md,12.6. 字典,number-only-review
12. 全文檢索,12.7. Configuration Example,https://www.postgresql.org/docs/15/textsearch-configuration.html,the-sql-language/12.-quan-wen-jian-suo/12.7.-zu-tai-fan-li.md,12.7. 組態範例,number-only-review
12. 全文檢索,12.8. Testing and Debugging Text Search,https://www.postgresql.org/docs/15/textsearch-debugging.html,the-sql-language/12.-quan-wen-jian-suo/12.8.-ce-shi-yu-chu-cuo.md,12.8. 測試與除錯,number-only-review
12. 全文檢索,12.9. Preferred Index Types for Text Search,https://www.postgresql.org/docs/15/textsearch-indexes.html,the-sql-language/12.-quan-wen-jian-suo/12.9.-gin-ji-gist-suo-yin-xing-bie.md,12.9. GIN 及 GiST 索引型別,number-only-review
12. 全文檢索,12.10. psql Support,https://www.postgresql.org/docs/15/textsearch-psql.html,the-sql-language/12.-quan-wen-jian-suo/12.10.-psql-zhi-yuan.md,12.10. psql支援,number-only-review
12. 全文檢索,12.11. Limitations,https://www.postgresql.org/docs/15/textsearch-limitations.html,the-sql-language/12.-quan-wen-jian-suo/12.11.-gong-neng-xian-zhi.md,12.11. 功能限制,number-only-review
13. 一致性管理（Concurrency Control）,13.1. Introduction,https://www.postgresql.org/docs/15/mvcc-intro.html,the-sql-language/concurrency-control/introduction.md,13.1. 簡介,title/path
13. 一致性管理（Concurrency Control）,13.2. Transaction Isolation,https://www.postgresql.org/docs/15/transaction-iso.html,the-sql-language/concurrency-control/transaction-isolation.md,13.2. 交易隔離,title/path
13. 一致性管理（Concurrency Control）,13.3. Explicit Locking,https://www.postgresql.org/docs/15/explicit-locking.html,the-sql-language/concurrency-control/explicit-locking.md,13.3. 鎖定模式,title/path
13. 一致性管理（Concurrency Control）,13.4. Data Consistency Checks at the Application Level,https://www.postgresql.org/docs/15/applevel-consistency.html,the-sql-language/concurrency-control/data-consistency-checks-at-the-application-level.md,13.4. 在應用端檢視資料一致性,title/path
13. 一致性管理（Concurrency Control）,13.5. Serialization Failure Handling,https://www.postgresql.org/docs/15/mvcc-serialization-failure-handling.html,the-sql-language/concurrency-control/mvcc-serialization-failure-handling.md,13.5. Serialization Failure Handling,title/path
13. 一致性管理（Concurrency Control）,13.6. Caveats,https://www.postgresql.org/docs/15/mvcc-caveats.html,the-sql-language/concurrency-control/caveats.md,13.6. 特別提醒,title/path
13. 一致性管理（Concurrency Control）,13.7. Locking and Indexes,https://www.postgresql.org/docs/15/locking-indexes.html,the-sql-language/concurrency-control/locking-and-indexes.md,13.7. 鎖定與索引,title/path
14. 效能技巧,14.1. Using EXPLAIN,https://www.postgresql.org/docs/15/using-explain.html,the-sql-language/performance-tips/using-explain.md,14.1. 善用 EXPLAIN,title/path
14. 效能技巧,14.2. Statistics Used by the Planner,https://www.postgresql.org/docs/15/planner-stats.html,the-sql-language/performance-tips/statistics-used-by-the-planner.md,14.2. 統計資訊,title/path
14. 效能技巧,14.3. Controlling the Planner with Explicit JOIN Clauses,https://www.postgresql.org/docs/15/explicit-joins.html,the-sql-language/performance-tips/controlling-the-planner-with-explicit-join-clauses.md,14.3. 使用確切的 JOIN 方式,title/path
14. 效能技巧,14.4. Populating a Database,https://www.postgresql.org/docs/15/populate.html,the-sql-language/performance-tips/populating-a-database.md,14.4. 快速建立資料庫內容,title/path
14. 效能技巧,14.5. Non-Durable Settings,https://www.postgresql.org/docs/15/non-durability.html,the-sql-language/performance-tips/non-durable-settings.md,14.5. 風險性彈性設定,title/path
15. 平行查詢,15.1. How Parallel Query Works,https://www.postgresql.org/docs/15/how-parallel-query-works.html,the-sql-language/parallel-query/how-parallel-query-works.md,15.1. 如何運作？,title/path
15. 平行查詢,15.2. When Can Parallel Query Be Used?,https://www.postgresql.org/docs/15/when-can-parallel-query-be-used.html,the-sql-language/parallel-query/when-can-parallel-query-be-used.md,15.2. 啓用時機？,title/path
15. 平行查詢,15.3. Parallel Plans,https://www.postgresql.org/docs/15/parallel-plans.html,the-sql-language/parallel-query/parallel-plans.md,15.3. 平行查詢計畫,title/path
15. 平行查詢,15.4. Parallel Safety,https://www.postgresql.org/docs/15/parallel-safety.html,the-sql-language/parallel-query/parallel-safety.md,15.4. 平行查詢的安全性,title/path
17. 以原始碼安裝,17.1. Short Version,https://www.postgresql.org/docs/15/install-short.html,server-administration/installation-from-source-code/short-version.md,17.1. 簡要步驟,title/path
17. 以原始碼安裝,17.2. Requirements,https://www.postgresql.org/docs/15/install-requirements.html,server-administration/installation-from-source-code/requirements.md,17.2. 環境需求,title/path
17. 以原始碼安裝,17.3. Getting the Source,https://www.postgresql.org/docs/15/install-getsource.html,server-administration/installation-from-source-code/getting-the-source.md,17.3. Getting The Source,title/path
17. 以原始碼安裝,17.4. Installation Procedure,https://www.postgresql.org/docs/15/install-procedure.html,server-administration/installation-from-source-code/installation-procedure.md,17.4. 安裝流程,title/path
17. 以原始碼安裝,17.5. Post-Installation Setup,https://www.postgresql.org/docs/15/install-post.html,server-administration/installation-from-source-code/post-installation-setup.md,17.5. Post-Installation Setup,title/path
17. 以原始碼安裝,17.6. Supported Platforms,https://www.postgresql.org/docs/15/supported-platforms.html,server-administration/installation-from-source-code/supported-platforms.md,17.6. Supported Platforms,title/path
17. 以原始碼安裝,17.7. Platform-Specific Notes,https://www.postgresql.org/docs/15/installation-platform-notes.html,server-administration/installation-from-source-code/platform-specific-notes.md,17.7. 平台相關的注意事項,title/path
18. 以原始碼在 Windows 上安裝,18.1. Building with Visual C++ or the Microsoft Windows SDK,https://www.postgresql.org/docs/15/install-windows-full.html,server-administration/installation-from-source-code-on-windows/17.1.-building-with-visual-c++-or-the-microsoft-windows-sdk.md,18.1. Building with Visual C++ or the Microsoft Windows SDK,title/path
19. 服務配置與維運,19.2. Creating a Database Cluster,https://www.postgresql.org/docs/15/creating-cluster.html,server-administration/server-setup-and-operation/creating-a-database-cluster.md,19.2. Creating a Database Cluster,title/path
19. 服務配置與維運,19.3. Starting the Database Server,https://www.postgresql.org/docs/15/server-start.html,server-administration/server-setup-and-operation/starting-the-database-server.md,19.3. Starting the Database Server,title/path
19. 服務配置與維運,19.4. Managing Kernel Resources,https://www.postgresql.org/docs/15/kernel-resources.html,server-administration/server-setup-and-operation/managing-kernel-resources.md,19.4. 核心資源管理,title/path
19. 服務配置與維運,19.5. Shutting Down the Server,https://www.postgresql.org/docs/15/server-shutdown.html,server-administration/server-setup-and-operation/shutting-down-the-server.md,19.5. Shutting Down the Server,title/path
